year,grand_prix,grand_prix_mapped,driver_number,lap_number
2023,Hungaroring,Hungarian_Grand_Prix,16,43.0
2023,Hungaroring,Hungarian_Grand_Prix,14,43.0
2023,Hungaroring,Hungarian_Grand_Prix,4,44.0
2023,Hungaroring,Hungarian_Grand_Prix,55,44.0
2023,Hungaroring,Hungarian_Grand_Prix,22,44.0
2023,Hungaroring,Hungarian_Grand_Prix,63,46.0
2023,Hungaroring,Hungarian_Grand_Prix,44,49.0
2023,Hungaroring,Hungarian_Grand_Prix,1,51.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,4,5.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,3,5.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,20,5.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,31,6.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,77,6.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,23,7.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,55,7.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,24,7.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,2,8.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,22,9.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,14,10.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,44,12.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,27,12.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,11,13.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,16,13.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,1,14.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,4,17.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,18,20.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,63,22.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,3,22.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,23,23.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,10,23.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,22,24.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,77,24.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,27,24.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,2,24.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,31,25.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,20,25.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,24,25.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,44,27.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,16,28.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,11,29.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,14,29.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,1,30.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,23,33.0
