meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start,grand_prix,race_session_key
1257,10014,3,23,33.0,57.0,MEDIUM,0,Sakhir,10014
1257,10014,3,14,33.0,57.0,HARD,0,Sakhir,10014
1257,10014,3,30,33.0,57.0,SOFT,0,Sakhir,10014
1257,10014,3,18,33.0,57.0,HARD,0,Sakhir,10014
1257,10014,3,5,33.0,57.0,MEDIUM,0,Sakhir,10014
1257,10014,4,55,45.0,45.0,SOFT,3,Sakhir,10014
1258,10022,1,10,,,MEDIUM,0,Jeddah,10022
1258,10022,1,7,1.0,1.0,MEDIUM,0,Jeddah,10022
1258,10022,1,31,1.0,1.0,MEDIUM,0,Jeddah,10022
1258,10022,1,5,1.0,1.0,MEDIUM,0,Jeddah,10022
1258,10022,1,22,1.0,1.0,MEDIUM,0,Jeddah,10022
1258,10022,1,87,1.0,18.0,MEDIUM,0,Jeddah,10022
1258,10022,1,81,1.0,19.0,MEDIUM,0,Jeddah,10022
1258,10022,1,12,1.0,19.0,MEDIUM,0,Jeddah,10022
1258,10022,1,14,1.0,19.0,MEDIUM,1,Jeddah,10022
1258,10022,1,63,1.0,20.0,MEDIUM,0,Jeddah,10022
1258,10022,1,30,1.0,20.0,MEDIUM,0,Jeddah,10022
1258,10022,1,1,1.0,21.0,MEDIUM,0,Jeddah,10022
1258,10022,1,55,1.0,21.0,MEDIUM,0,Jeddah,10022
1258,10022,1,23,1.0,22.0,MEDIUM,0,Jeddah,10022
1258,10022,1,44,1.0,23.0,MEDIUM,0,Jeddah,10022
1258,10022,1,16,1.0,29.0,MEDIUM,0,Jeddah,10022
1258,10022,2,7,2.0,32.0,HARD,0,Jeddah,10022
1258,10022,1,27,1.0,33.0,HARD,0,Jeddah,10022
1258,10022,1,4,1.0,34.0,HARD,0,Jeddah,10022
1258,10022,1,6,1.0,34.0,HARD,0,Jeddah,10022
1258,10022,1,18,1.0,39.0,HARD,1,Jeddah,10022
1258,10022,2,81,20.0,50.0,HARD,0,Jeddah,10022
1258,10022,2,1,22.0,50.0,HARD,0,Jeddah,10022
1258,10022,2,27,34.0,49.0,MEDIUM,0,Jeddah,10022
1258,10022,2,18,40.0,49.0,MEDIUM,1,Jeddah,10022
1258,10022,2,16,30.0,50.0,HARD,0,Jeddah,10022
1258,10022,2,4,35.0,50.0,MEDIUM,0,Jeddah,10022
1258,10022,3,7,33.0,49.0,HARD,0,Jeddah,10022
1258,10022,2,5,2.0,49.0,HARD,0,Jeddah,10022
1258,10022,2,63,21.0,50.0,HARD,0,Jeddah,10022
1258,10022,2,12,20.0,50.0,HARD,0,Jeddah,10022
