season_year,grand_prix,driver_number,lap_number
2024,Jeddah,2,7.0
2024,Jeddah,3,7.0
2024,Jeddah,27,33.0
2024,Jeddah,77,35.0
2024,Jeddah,44,36.0
2024,Jeddah,4,37.0
2024,Jeddah,24,41.0
2024,Melbourne,3,5.0
2024,Melbourne,23,6.0
2024,Melbourne,24,6.0
2024,Melbourne,44,7.0
2024,Melbourne,20,7.0
2024,Melbourne,63,8.0
2024,Melbourne,18,8.0
2024,Melbourne,77,8.0
2024,Melbourne,16,9.0
2024,Melbourne,81,9.0
2024,Melbourne,22,9.0
2024,Melbourne,31,9.0
2024,Melbourne,4,14.0
2024,Melbourne,11,14.0
2024,Melbourne,55,16.0
2024,Melbourne,31,16.0
2024,Melbourne,14,17.0
2024,Melbourne,27,17.0
2024,Melbourne,10,17.0
2024,Melbourne,23,27.0
2024,Melbourne,3,29.0
2024,Melbourne,20,33.0
2024,Melbourne,16,34.0
2024,Melbourne,11,35.0
2024,Melbourne,27,35.0
2024,Melbourne,24,35.0
2024,Melbourne,22,36.0
2024,Melbourne,77,36.0
2024,Melbourne,18,37.0
2024,Melbourne,81,39.0
2024,Melbourne,4,40.0
2024,Melbourne,55,41.0
2024,Melbourne,14,41.0
2024,Melbourne,10,41.0
2024,Melbourne,31,42.0
2024,Melbourne,63,45.0
2024,Suzuka,1,1.0
2024,Suzuka,11,1.0
2024,Suzuka,4,1.0
2024,Suzuka,55,1.0
2024,Suzuka,14,1.0
2024,Suzuka,81,1.0
2024,Suzuka,44,1.0
2024,Suzuka,16,1.0
2024,Suzuka,63,1.0
2024,Suzuka,27,1.0
2024,Suzuka,77,1.0
2024,Suzuka,22,1.0
2024,Suzuka,31,1.0
2024,Suzuka,10,1.0
2024,Suzuka,18,1.0
2024,Suzuka,20,1.0
2024,Suzuka,2,1.0
2024,Suzuka,24,1.0
2024,Suzuka,27,5.0
2024,Suzuka,77,6.0
2024,Suzuka,22,7.0
2024,Suzuka,24,7.0
